ImageID,NucleiID,Number_foci_method1,Number_foci_method2,Number_foci_method3,Intensity
38,3,145,34,294,1293.176484
38,4,146,36,306,1589.866686
38,5,213,51,363,1883.690216
38,6,321,104,482,2340.847077
38,7,177,24,346,1652.772574
38,8,6,0,34,539.4470643
38,9,92,12,242,1342.992171
38,10,11,2,46,401.8431369
38,11,32,3,94,592.4274575
38,12,130,26,249,1221.454907
38,13,47,18,84,1055.733342
38,14,119,24,239,1094.317659
38,15,5,5,5,87.37255077
38,16,48,8,130,1016.427466
39,1,30,6,94,1019.992201
39,2,57,9,121,767.9921835
39,3,95,20,200,925.4431606
39,4,43,6,125,1354.180448
39,5,238,85,393,1661.32552
39,6,58,12,146,884.6745473
39,7,2,0,15,335.8117789
39,8,1,0,4,229.3411853
39,9,2,0,8,245.6235354
39,10,0,0,18,381.7019689
40,1,12,0,63,768.9176753
40,2,6,6,13,686.9843414
40,3,15,1,72,860.952962
40,4,16,1,49,457.0156919
40,5,16,2,59,517.6823676
40,6,0,0,11,130.9333379
40,7,43,8,118,874.9019745
40,8,93,29,166,982.5490307
40,9,99,33,162,788.7804022
40,10,151,49,249,1227.356876
40,11,150,35,227,1003.082361
40,12,130,25,265,1378.270608
40,13,138,41,259,1328.843166
40,14,11,2,50,930.4314103
40,15,44,6,114,1001.2706
41,1,4,0,25,555.7921795
41,2,157,26,325,1668.184343
41,3,152,36,274,1482.415703
41,4,24,4,80,1160.53728
41,5,90,22,201,1508.20394
41,6,97,15,231,1476.921583
41,7,22,1,72,1294.34512
41,8,3,0,24,667.321583
41,9,52,8,165,1581.929423
41,10,20,2,42,1722.611845
41,11,67,14,199,1351.866677
41,12,35,6,127,1204.23138
42,1,178,90,256,1528.254934
42,2,35,4,112,1045.00396
42,3,43,6,130,1475.043178
42,4,210,91,339,2348.066733
42,5,58,8,131,1259.764734
42,6,39,10,102,1364.517702
42,7,60,7,125,1188.466711
42,8,96,22,192,1137.819643
42,9,127,12,298,1908.470644
42,10,209,56,362,2099.251022
42,11,3,0,17,1587.384364
42,12,6,0,40,1143.415708
43,1,102,27,190,1635.576501
43,2,107,26,240,1602.921596
43,3,112,19,242,1394.066681
43,4,70,12,142,865.7255075
44,1,0,0,0,10.77308244
44,2,1,0,7,891.9046252
44,3,2,0,27,828.573485
44,4,5,0,37,1209.592721
44,5,6,2,21,1210.97583
44,6,0,0,1,970.1244946
44,7,3,1,15,851.8169735
44,8,10,0,48,2133.948448
44,9,55,36,95,1095.437322
44,10,23,7,106,3013.486437
45,1,9,0,60,943.0196205
45,2,0,0,7,1089.721595
45,3,39,6,163,1926.203917
45,4,3,0,25,718.2431462
45,5,10,1,42,860.5451112
45,6,4,0,40,690.513739
45,7,50,3,189,1440.513723
45,8,4,0,35,832.9450962
45,9,0,0,9,466.1764768
45,10,0,0,6,619.2980498
46,1,3,2,7,159.2000063
46,2,1,0,4,237.1098127
46,3,2,0,6,417.5019771
46,4,0,0,0,6.00784298
46,5,0,0,35,510.4353112
46,6,35,4,157,695.0666798
46,7,76,10,253,1004.686299
46,8,4,0,46,850.6157117
46,9,0,0,0,100.8588239
47,1,8,1,46,842.5176506
47,2,0,0,0,26.52156937
